Epoch: 178, Train Acc: 56.180921, Val Acc: 54.980000
Epoch: 179, Train Acc: 56.161184, Val Acc: 54.973333
Epoch: 180, Train Acc: 56.185855, Val Acc: 55.006667
Epoch: 181, Train Acc: 56.159539, Val Acc: 54.906667
Epoch: 182, Train Acc: 56.172697, Val Acc: 54.946667
Epoch: 183, Train Acc: 56.198191, Val Acc: 54.973333
Epoch: 184, Train Acc: 56.189967, Val Acc: 54.980000
Epoch: 185, Train Acc: 56.193257, Val Acc: 54.946667
Epoch: 186, Train Acc: 56.217105, Val Acc: 55.060000
Epoch: 187, Train Acc: 56.205592, Val Acc: 55.026667
Epoch: 188, Train Acc: 56.196546, Val Acc: 54.960000
Epoch: 189, Train Acc: 56.200658, Val Acc: 54.986667
Epoch: 190, Train Acc: 56.207237, Val Acc: 54.946667
Epoch: 191, Train Acc: 56.257401, Val Acc: 55.040000
Epoch: 192, Train Acc: 56.244243, Val Acc: 55.000000
Epoch: 193, Train Acc: 56.238487, Val Acc: 55.000000
Epoch: 194, Train Acc: 56.248355, Val Acc: 55.033333
Epoch: 195, Train Acc: 56.252467, Val Acc: 55.006667
Epoch: 196, Train Acc: 56.246711, Val Acc: 55.006667
Epoch: 197, Train Acc: 56.254112, Val Acc: 55.020000
Epoch: 198, Train Acc: 56.274671, Val Acc: 55.000000
Epoch: 199, Train Acc: 56.275493, Val Acc: 54.973333
Epoch: 200, Train Acc: 56.265625, Val Acc: 54.973333
Epoch: 201, Train Acc: 56.259868, Val Acc: 54.960000
Epoch: 202, Train Acc: 56.273849, Val Acc: 54.946667
Epoch: 203, Train Acc: 56.295230, Val Acc: 54.980000
Epoch: 204, Train Acc: 56.266447, Val Acc: 54.986667
Epoch: 205, Train Acc: 56.287829, Val Acc: 54.980000
Epoch: 206, Train Acc: 56.262336, Val Acc: 54.960000
Epoch: 207, Train Acc: 56.296053, Val Acc: 55.026667
Epoch: 208, Train Acc: 56.298520, Val Acc: 54.993333
Epoch: 209, Train Acc: 56.313322, Val Acc: 55.086667
Epoch: 210, Train Acc: 56.307566, Val Acc: 55.060000
Epoch: 211, Train Acc: 56.301809, Val Acc: 55.000000
Epoch: 212, Train Acc: 56.326480, Val Acc: 55.053333
Epoch: 213, Train Acc: 56.347039, Val Acc: 55.040000
Epoch: 214, Train Acc: 56.351974, Val Acc: 55.066667
Epoch: 215, Train Acc: 56.327303, Val Acc: 55.033333
Epoch: 216, Train Acc: 56.339638, Val Acc: 55.040000
Epoch: 217, Train Acc: 56.356086, Val Acc: 55.020000
Epoch: 218, Train Acc: 56.328947, Val Acc: 54.973333
Epoch: 219, Train Acc: 56.366776, Val Acc: 55.046667
Epoch: 220, Train Acc: 56.363487, Val Acc: 55.093333
Epoch: 221, Train Acc: 56.356086, Val Acc: 55.046667
Epoch: 222, Train Acc: 56.374178, Val Acc: 55.093333
Epoch: 223, Train Acc: 56.386513, Val Acc: 55.113333
Epoch: 224, Train Acc: 56.373355, Val Acc: 55.040000
Epoch: 225, Train Acc: 56.372533, Val Acc: 55.000000
Epoch: 226, Train Acc: 56.379112, Val Acc: 55.046667
Epoch: 227, Train Acc: 56.377467, Val Acc: 55.080000
Epoch: 228, Train Acc: 56.378289, Val Acc: 55.046667
Epoch: 229, Train Acc: 56.381579, Val Acc: 55.053333
Epoch: 230, Train Acc: 56.374178, Val Acc: 55.026667
Epoch: 231, Train Acc: 56.379112, Val Acc: 55.040000
Epoch: 232, Train Acc: 56.387336, Val Acc: 55.113333
Epoch: 233, Train Acc: 56.386513, Val Acc: 55.080000
Epoch: 234, Train Acc: 56.385691, Val Acc: 55.046667
Epoch: 235, Train Acc: 56.382401, Val Acc: 55.073333
Epoch: 236, Train Acc: 56.393092, Val Acc: 55.020000
Epoch: 237, Train Acc: 56.413651, Val Acc: 55.100000
Epoch: 238, Train Acc: 56.421053, Val Acc: 55.153333
Epoch: 239, Train Acc: 56.425164, Val Acc: 55.106667
Epoch: 240, Train Acc: 56.406250, Val Acc: 55.080000
Epoch: 241, Train Acc: 56.421875, Val Acc: 55.086667
Epoch: 242, Train Acc: 56.435033, Val Acc: 55.086667
Epoch: 243, Train Acc: 56.428454, Val Acc: 55.053333
Epoch: 244, Train Acc: 56.441612, Val Acc: 55.100000
Epoch: 245, Train Acc: 56.444079, Val Acc: 55.100000
Epoch: 246, Train Acc: 56.445724, Val Acc: 55.100000
Epoch: 247, Train Acc: 56.455592, Val Acc: 55.106667
