                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.1797,                0.55376,                 1.2768,                0.91025,                 0.8754,                0.94922,                0.65299,                 1.1506,                0.52735,                 1.3748,              0.0010258,              0.0010258,              0.0010258
                     59,                 1.1759,                0.54763,                 1.2733,                0.91462,                 0.8741,                0.95072,                 0.6594,                  1.136,                0.52106,                 1.3692,              0.0010187,              0.0010187,              0.0010187
                     60,                 1.1683,                 0.5488,                 1.2722,                0.91425,                0.87366,                0.95178,                0.66325,                 1.1244,                0.51554,                 1.3628,              0.0010117,              0.0010117,              0.0010117
                     61,                 1.1743,                0.55004,                 1.2769,                0.90625,                0.87686,                0.94906,                0.66048,                 1.1292,                0.52755,                 1.3616,              0.0010046,              0.0010046,              0.0010046
                     62,                 1.1584,                 0.5422,                  1.269,                0.91577,                0.87499,                0.95119,                0.66702,                 1.1162,                0.50598,                  1.356,             0.00099751,             0.00099751,             0.00099751
                     63,                  1.171,                0.54124,                 1.2633,                0.90387,                0.87799,                0.94838,                0.65797,                 1.1301,                0.53143,                 1.3661,             0.00099044,             0.00099044,             0.00099044
                     64,                  1.169,                0.55778,                 1.2781,                0.91382,                0.86936,                0.94997,                0.66308,                 1.1242,                0.52167,                 1.3588,             0.00098337,             0.00098337,             0.00098337
                     65,                 1.1556,                0.54402,                 1.2688,                0.91132,                0.87335,                0.95167,                0.66049,                 1.1275,                0.51668,                 1.3638,             0.00097629,             0.00097629,             0.00097629
                     66,                 1.1602,                0.53784,                 1.2722,                0.90491,                0.88174,                0.95016,                0.66091,                 1.1344,                0.52299,                 1.3698,             0.00096922,             0.00096922,             0.00096922
                     67,                 1.1584,                0.54137,                  1.263,                  0.907,                0.87676,                0.94891,                0.65873,                 1.1375,                0.51746,                 1.3677,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.1529,                 0.5327,                 1.2672,                 0.9113,                0.88052,                0.95339,                0.66497,                 1.1182,                 0.5084,                 1.3564,             0.00095507,             0.00095507,             0.00095507
                     69,                 1.1442,                0.53357,                 1.2598,                0.90777,                0.87355,                0.94808,                0.66036,                  1.122,                0.52168,                 1.3627,               0.000948,               0.000948,               0.000948
                     70,                  1.152,                0.53523,                 1.2575,                0.90495,                0.88318,                0.95154,                0.66122,                 1.1415,                0.51456,                 1.3683,             0.00094093,             0.00094093,             0.00094093
                     71,                 1.1439,                 0.5358,                 1.2659,                0.91289,                0.87468,                0.95085,                 0.6608,                  1.126,                0.51917,                 1.3588,             0.00093385,             0.00093385,             0.00093385
